dr_number,date_reported,date_occurred,time_occurred,area_id,area_name,reporting_district,crime_code,crime_code_description,mo_codes,victim_age,victim_sex,victim_descent,lat,lon,status_description,premise_description
171318739,2017-08-19,2017-08-19,1820,13,Newton,1347,761,BRANDISH WEAPON,0334 2000 1814 0913 1310 0329 0421 0906 1309,26,F,H,34.0058,-118.2462,Invest Cont,STREET
160615964,2016-07-13,2016-06-02,1610,6,Hollywood,638,354,THEFT OF IDENTITY,0377,31,F,W,34.1053,-118.3224,Invest Cont,SINGLE FAMILY DWELLING
131206527,2013-02-09,2013-02-08,2015,12,77th Street,1208,510,VEHICLE - STOLEN,NA,12,NA,NA,33.9957,-118.2827,Invest Cont,STREET
132114733,2013-08-28,2013-08-28,1445,21,Topanga,2189,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,51,M,W,34.1719,-118.5684,Invest Cont,STREET
140906020,2014-02-10,2014-02-10,1530,9,Van Nuys,906,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,34,M,H,34.203,-118.4458,Adult Arrest,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
132111514,2013-06-17,2013-06-17,1000,21,Topanga,2139,626,INTIMATE PARTNER - SIMPLE ASSAULT,0444 0448 0400 2000,36,F,H,34.2027,-118.574,Adult Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
141711932,2014-07-04,2014-07-04,445,17,Devonshire,1745,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1814 2000 0416,27,F,W,34.2574,-118.5233,Adult Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
110313805,2011-06-05,2011-06-05,920,3,Southwest,328,933,PROWLER,1501,65,M,B,34.0283,-118.2822,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
131010581,2013-05-31,2011-01-01,1200,10,West Valley,1025,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1912,55,M,O,34.2012,-118.5295,Adult Other,OTHER BUSINESS
102119542,2010-10-28,2010-10-21,300,21,Topanga,2142,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,23,F,W,34.1946,-118.6315,Invest Cont,"VEHICLE, PASSENGER/TRUCK"
171504991,2017-01-17,2017-01-16,1600,15,N Hollywood,1519,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1300,28,F,O,34.1867,-118.3659,Invest Cont,"VEHICLE, PASSENGER/TRUCK"
110114445,2011-07-25,2011-07-25,1515,1,Central,152,762,LEWD CONDUCT,NA,23,F,A,34.0502,-118.254,Adult Arrest,LIBRARY
130208404,2013-03-17,2013-03-01,1,2,Rampart,291,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,42,M,W,34.045,-118.2818,Invest Cont,SINGLE FAMILY DWELLING
161317074,2016-08-06,2016-08-06,1810,13,Newton,1383,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0202 0913 0334 1202 1822,64,M,O,33.9842,-118.2783,Invest Cont,PARKING LOT
161812706,2016-06-13,2016-06-13,1135,18,Southeast,1838,753,DISCHARGE FIREARMS/SHOTS FIRED,1100,NA,M,O,33.9431,-118.2358,Invest Cont,STREET
151716241,2015-09-20,2015-09-20,1200,17,Devonshire,1717,626,INTIMATE PARTNER - SIMPLE ASSAULT,0448 2000 1814,52,M,H,34.2735,-118.4887,Adult Other,SINGLE FAMILY DWELLING
150910830,2015-05-20,2015-05-12,1600,9,Van Nuys,969,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,40,F,B,34.1576,-118.416,Invest Cont,ELEMENTARY SCHOOL
151223545,2015-10-14,2015-10-13,2330,12,77th Street,1209,624,BATTERY - SIMPLE ASSAULT,0416 0913,26,M,B,33.9965,-118.2827,Invest Cont,SIDEWALK
141226806,2014-12-17,2014-12-16,900,12,77th Street,1258,624,BATTERY - SIMPLE ASSAULT,0444 0913,55,F,B,33.9718,-118.2739,Adult Other,AUTO REPAIR SHOP
112117002,2011-09-27,2011-09-25,2230,21,Topanga,2113,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,42,F,H,34.2194,-118.6213,Invest Cont,STREET
110100642,2011-02-21,2011-02-20,1940,1,Central,195,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,37,M,H,34.0336,-118.2626,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
150606975,2015-02-15,2015-02-15,230,6,Hollywood,645,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0325 0601 0400,NA,M,W,34.098,-118.3416,Invest Cont,MINI-MART
141914300,2014-06-26,2014-06-14,1,19,Mission,1945,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,34,F,H,34.2629,-118.4481,Invest Cont,SINGLE FAMILY DWELLING
101512985,2010-05-24,2010-05-24,900,15,N Hollywood,1548,624,BATTERY - SIMPLE ASSAULT,0444 0913,22,F,W,34.1649,-118.375,Adult Other,SIDEWALK
150407652,2015-03-23,2015-03-15,1200,4,Hollenbeck,412,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060,0448 0510 0522 1801 1258,13,F,H,34.0763,-118.2164,Adult Other,SINGLE FAMILY DWELLING
102010909,2010-04-13,2010-04-13,1350,20,Olympic,2029,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0346 0344 1402,58,M,W,34.0637,-118.2857,Adult Arrest,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)"
121416857,2012-06-30,2012-06-30,830,14,Pacific,1438,624,BATTERY - SIMPLE ASSAULT,0416,22,M,W,34.0185,-118.4124,Adult Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
141413338,2014-05-07,2014-04-28,1130,14,Pacific,1495,330,BURGLARY FROM VEHICLE,0344 1501,39,M,H,33.9489,-118.3929,Invest Cont,PARKING LOT
120106415,2012-02-13,2012-02-12,1945,1,Central,182,624,BATTERY - SIMPLE ASSAULT,0416 2000 0602 1243,37,F,B,34.0444,-118.2628,Invest Cont,HOTEL
101601507,2010-12-03,2010-12-03,1530,16,Foothill,1638,624,BATTERY - SIMPLE ASSAULT,0400 0419 1309 1310 1414,19,F,W,34.2595,-118.2885,Invest Cont,STREET
130713283,2013-08-03,2013-08-02,2230,7,Wilshire,738,330,BURGLARY FROM VEHICLE,1609 0329 1402,22,M,A,34.0669,-118.3397,Invest Cont,STREET
141920939,2014-10-21,2014-09-20,1200,19,Mission,1994,354,THEFT OF IDENTITY,NA,30,M,H,34.2215,-118.4507,Invest Cont,SINGLE FAMILY DWELLING
141313724,2014-06-28,2014-06-28,845,13,Newton,1331,510,VEHICLE - STOLEN,NA,13,NA,NA,34.021,-118.2723,Invest Cont,STREET
170611762,2017-05-04,2017-05-03,1900,6,Hollywood,637,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,27,F,H,34.1027,-118.318,Invest Cont,STREET
151422931,2015-08-29,2015-08-22,1257,14,Pacific,1454,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,NA,M,W,33.9873,-118.4403,Invest Cont,OTHER PREMISE
151412911,2015-04-22,2015-04-15,1700,14,Pacific,1414,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,53,M,W,33.9969,-118.4699,Invest Cont,STREET
161310139,2016-04-16,2016-04-15,700,13,Newton,1351,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),1606 0344,53,M,O,34.0073,-118.2784,Invest Cont,PARKING LOT
141514020,2014-07-14,2014-06-24,1600,15,N Hollywood,1541,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,27,F,H,34.1613,-118.4052,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
160504725,2016-01-17,2016-01-17,2155,5,Harbor,529,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1236 1309,NA,M,O,33.7819,-118.2314,Invest Cont,OTHER BUSINESS
120207381,2012-03-03,2012-03-02,1900,2,Rampart,266,510,VEHICLE - STOLEN,NA,11,NA,NA,34.0539,-118.2712,Invest Cont,STREET
121816425,2012-08-26,2012-08-24,1545,18,Southeast,1842,813,CHILD ANNOYING (17YRS & UNDER),0400 0448,12,F,B,33.933,-118.2695,Invest Cont,SIDEWALK
140507549,2014-03-28,2014-03-28,1410,5,Harbor,525,624,BATTERY - SIMPLE ASSAULT,2000 0416 1813,28,F,B,33.7742,-118.262,Adult Other,SINGLE FAMILY DWELLING
101604059,2010-01-02,2010-01-01,1930,16,Foothill,1693,330,BURGLARY FROM VEHICLE,0344 0358 1202 1300 1307 1609,64,M,W,34.2094,-118.401,Invest Cont,DRIVEWAY
171115586,2017-08-25,2017-08-25,1140,11,Northeast,1177,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,63,M,H,34.0884,-118.2258,Invest Cont,PARKING LOT
160911145,2016-05-22,2016-05-21,1855,9,Van Nuys,926,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1501,82,M,H,34.193,-118.44,Invest Cont,SIDEWALK
151313683,2015-06-25,2015-06-25,2125,13,Newton,1345,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0913,31,F,O,34.0128,-118.2541,Adult Other,SINGLE FAMILY DWELLING
160713197,2016-07-30,2016-07-02,800,7,Wilshire,724,649,DOCUMENT FORGERY / STOLEN FELONY,0923,51,F,A,34.0761,-118.3555,Invest Cont,OTHER BUSINESS
110511144,2011-05-22,2011-05-21,2115,5,Harbor,585,510,VEHICLE - STOLEN,NA,10,NA,NA,33.7279,-118.288,Adult Arrest,PARKING LOT
132004549,2013-01-12,2013-01-12,100,20,Olympic,2024,121,"RAPE, FORCIBLE",1206 0913 1802 0342 2002 0527 1415 1409 1262 0537,19,F,W,34.0654,-118.3066,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
140812033,2014-08-06,2014-08-03,600,8,West LA,839,354,THEFT OF IDENTITY,0930 1822,52,F,W,34.0552,-118.4154,Invest Cont,SINGLE FAMILY DWELLING
150204874,2015-01-17,2015-01-14,1700,2,Rampart,261,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,61,M,K,34.0568,-118.2821,Invest Cont,PARKING LOT
170319815,2017-08-25,2017-08-24,2330,3,Southwest,396,510,VEHICLE - STOLEN,NA,16,NA,NA,34.0109,-118.2915,Invest Cont,STREET
